timestamp,src_ip,dst_ip,dst_port,syn_flag
1770702527.8826122,104.18.32.47,10.1.91.172,54441,0
1770702527.8835611,104.18.32.47,10.1.91.172,54441,0
1770702527.8844929,104.18.32.47,10.1.91.172,54441,0
1770702527.8859074,104.18.32.47,10.1.91.172,54441,0
1770702527.8869696,104.18.32.47,10.1.91.172,54441,0
1770702527.8881984,104.18.32.47,10.1.91.172,54441,0
1770702527.8890753,104.18.32.47,10.1.91.172,54441,0
1770702527.8897548,104.18.32.47,10.1.91.172,54441,0
1770702527.8906832,104.18.32.47,10.1.91.172,54441,0
1770702527.9096243,10.1.91.172,104.18.32.47,443,0
1770702527.9515514,104.18.32.47,10.1.91.172,54441,0
1770702527.953645,104.18.32.47,10.1.91.172,54441,0
1770702527.955523,104.18.32.47,10.1.91.172,54441,0
1770702527.9568298,104.18.32.47,10.1.91.172,54441,0
1770702527.9584203,104.18.32.47,10.1.91.172,54441,0
1770702527.9597414,104.18.32.47,10.1.91.172,54441,0
1770702527.9608014,104.18.32.47,10.1.91.172,54441,0
1770702527.961684,10.1.91.172,104.18.32.47,443,0
1770702527.9629748,10.1.91.172,104.18.32.47,443,0
1770702527.9898965,104.18.32.47,10.1.91.172,54441,0
1770702528.01481,20.42.65.89,10.1.91.172,59836,0
1770702528.015727,10.1.91.172,20.42.65.89,443,0
1770702528.0207014,10.1.91.172,20.42.65.89,443,0
1770702528.0745852,10.1.91.172,104.18.39.21,443,0
1770702528.1336625,104.18.39.21,10.1.91.172,50817,0
1770702528.2328842,104.18.39.21,10.1.91.172,50817,0
1770702528.3377101,10.1.91.172,104.18.39.21,443,0
1770702528.359828,20.42.65.89,10.1.91.172,59836,0
1770702528.362785,20.42.65.89,10.1.91.172,59836,0
1770702528.364266,10.1.91.172,20.42.65.89,443,0
1770702528.3653524,10.1.91.172,20.42.65.89,443,0
1770702528.3700452,20.42.65.89,10.1.91.172,59836,0
1770702528.371143,10.1.91.172,20.42.65.89,443,0
1770702528.372437,20.42.65.89,10.1.91.172,59836,0
1770702528.3734725,10.1.91.172,20.42.65.89,443,0
1770702528.3773456,10.1.91.172,20.42.65.89,443,0
1770702528.3782446,10.1.91.172,20.42.65.89,443,0
1770702528.3789096,10.1.91.172,20.42.65.89,443,0
1770702528.6367924,20.42.65.89,10.1.91.172,59836,0
1770702528.6390145,20.42.65.89,10.1.91.172,59836,0
1770702528.6403046,20.42.65.89,10.1.91.172,59836,0
1770702528.6413095,10.1.91.172,20.42.65.89,443,0
1770702528.94049,10.1.91.172,20.189.173.9,443,0
1770702528.9435716,10.1.91.172,20.189.173.9,443,0
1770702528.9461143,10.1.91.172,20.189.173.9,443,0
1770702529.0391204,10.1.91.172,104.18.39.21,443,0
1770702529.0551932,104.18.39.21,10.1.91.172,50817,0
1770702529.172677,20.189.173.9,10.1.91.172,57403,0
1770702529.190908,20.189.173.9,10.1.91.172,57403,0
1770702529.1931686,104.18.39.21,10.1.91.172,50817,0
1770702529.1951022,10.1.91.172,20.189.173.9,443,0
1770702529.196787,10.1.91.172,204.79.197.203,443,1
1770702529.1990044,204.79.197.203,10.1.91.172,51752,0
1770702529.200222,10.1.91.172,204.79.197.203,443,0
1770702529.2025542,10.1.91.172,204.79.197.203,443,0
1770702529.2053118,10.1.91.172,204.79.197.203,443,0
1770702529.2181234,10.1.91.172,104.18.39.21,443,0
1770702529.2303622,204.79.197.203,10.1.91.172,51752,0
1770702529.2316782,204.79.197.203,10.1.91.172,51752,0
1770702529.2490172,10.1.91.172,204.79.197.203,443,0
1770702529.2510073,10.1.91.172,104.208.16.88,443,1
1770702529.2642634,10.1.91.172,18.161.229.61,443,1
1770702529.2722502,10.1.91.172,13.107.246.58,443,1
1770702529.2729692,204.79.197.203,10.1.91.172,51752,0
1770702529.2742088,18.161.229.61,10.1.91.172,50135,0
1770702529.275432,10.1.91.172,18.161.229.61,443,0
1770702529.2770498,10.1.91.172,18.161.229.61,443,0
1770702529.2786145,10.1.91.172,18.161.229.61,443,0
1770702529.3676813,10.1.91.172,18.161.229.61,443,0
1770702529.3914368,204.79.197.203,10.1.91.172,51752,0
1770702529.3927817,10.1.91.172,204.79.197.203,443,0
1770702529.3951662,204.79.197.203,10.1.91.172,51752,0
1770702529.3959851,10.1.91.172,204.79.197.203,443,0
1770702529.3972993,204.79.197.203,10.1.91.172,51752,0
1770702529.3984373,18.161.229.61,10.1.91.172,50135,0
1770702529.400013,18.161.229.61,10.1.91.172,50135,0
1770702529.400832,13.107.246.58,10.1.91.172,58417,0
1770702529.40479,204.79.197.203,10.1.91.172,51752,0
1770702529.4064467,10.1.91.172,204.79.197.203,443,0
1770702529.408029,10.1.91.172,13.107.246.58,443,0
1770702529.4089096,18.161.229.61,10.1.91.172,50135,0
1770702529.411004,10.1.91.172,18.161.229.61,443,0
1770702529.4128926,10.1.91.172,13.107.246.58,443,0
1770702529.414869,10.1.91.172,13.107.246.58,443,0
1770702529.4160643,10.1.91.172,18.161.229.61,443,0
1770702529.4171321,10.1.91.172,18.161.229.61,443,0
1770702529.41792,10.1.91.172,204.79.197.203,443,0
1770702529.418977,10.1.91.172,204.79.197.203,443,0
1770702529.4214067,10.1.91.172,204.79.197.203,443,0
1770702529.4234207,10.1.91.172,204.79.197.203,443,0
1770702529.425419,10.1.91.172,204.79.197.203,443,0
1770702529.4276462,10.1.91.172,204.79.197.203,443,0
1770702529.4294522,10.1.91.172,204.79.197.203,443,0
1770702529.4315243,10.1.91.172,204.79.197.203,443,0
1770702529.4334996,10.1.91.172,204.79.197.203,443,0
1770702529.4353487,10.1.91.172,204.79.197.203,443,0
1770702529.4405348,18.161.229.61,10.1.91.172,50135,0
1770702529.4414458,18.161.229.61,10.1.91.172,50135,0
1770702529.442915,18.161.229.61,10.1.91.172,50135,0
1770702529.4447005,18.161.229.61,10.1.91.172,50135,0
1770702529.4458706,204.79.197.203,10.1.91.172,51752,0
1770702529.4470298,204.79.197.203,10.1.91.172,51752,0
1770702529.4494824,204.79.197.203,10.1.91.172,51752,0
1770702529.4511065,204.79.197.203,10.1.91.172,51752,0
1770702529.452885,204.79.197.203,10.1.91.172,51752,0
1770702529.4541252,204.79.197.203,10.1.91.172,51752,0
1770702529.4553833,204.79.197.203,10.1.91.172,51752,0
1770702529.4567094,10.1.91.172,18.161.229.61,443,0
1770702529.4583712,10.1.91.172,204.79.197.203,443,0
1770702529.4648075,204.79.197.203,10.1.91.172,51752,0
1770702529.4657614,204.79.197.203,10.1.91.172,51752,0
1770702529.4670374,13.107.246.58,10.1.91.172,58417,0
1770702529.4685583,204.79.197.203,10.1.91.172,51752,0
1770702529.470499,10.1.91.172,18.161.229.61,443,0
1770702529.4721582,13.107.246.58,10.1.91.172,58417,0
1770702529.4731357,10.1.91.172,204.79.197.203,443,0
1770702529.4744344,10.1.91.172,13.107.246.58,443,0
1770702529.475591,204.79.197.203,10.1.91.172,51752,0
1770702529.4959183,10.1.91.172,74.162.106.40,443,1
1770702529.5007489,13.107.246.58,10.1.91.172,58417,0
1770702529.502537,10.1.91.172,13.107.246.58,443,0
1770702529.5051699,10.1.91.172,13.107.246.58,443,0
1770702529.5069108,10.1.91.172,13.107.246.58,443,0
1770702529.5078351,10.1.91.172,13.107.246.58,443,0
1770702529.517234,10.1.91.172,104.208.16.88,443,1
1770702529.5242376,13.107.246.58,10.1.91.172,58417,0
1770702529.5260243,18.161.229.61,10.1.91.172,50135,0
1770702529.5274296,104.208.16.88,10.1.91.172,56067,0
1770702529.5291772,13.107.246.58,10.1.91.172,58417,0
1770702529.5309749,74.162.106.40,10.1.91.172,53478,0
1770702529.5619686,10.1.91.172,104.208.16.88,443,0
1770702529.5630999,10.1.91.172,74.162.106.40,443,0
1770702529.5643034,10.1.91.172,104.208.16.88,443,1
1770702529.5661275,10.1.91.172,104.208.16.88,443,0
1770702529.5675611,10.1.91.172,104.208.16.88,443,0
1770702529.5695908,10.1.91.172,74.162.106.40,443,0
1770702529.5711854,10.1.91.172,74.162.106.40,443,0
1770702529.5724354,10.1.91.172,96.45.46.46,53,1
1770702529.5738468,10.1.91.172,13.107.246.58,443,0
1770702529.5750465,10.1.91.172,204.79.197.219,443,1
1770702529.579185,204.79.197.219,10.1.91.172,49982,0
1770702529.5802875,10.1.91.172,204.79.197.219,443,0
1770702529.5819807,10.1.91.172,204.79.197.219,443,0
1770702529.5834138,10.1.91.172,204.79.197.219,443,0
1770702529.6235907,10.1.91.172,204.79.197.219,443,0
1770702529.6550007,96.45.46.46,10.1.91.172,56181,0
1770702529.6560252,204.79.197.219,10.1.91.172,49982,0
1770702529.6573322,204.79.197.219,10.1.91.172,49982,0
1770702529.6581147,13.107.246.58,10.1.91.172,58417,0
1770702529.6589608,104.18.39.21,10.1.91.172,50817,0
1770702529.6598697,13.107.246.58,10.1.91.172,58417,0
1770702529.6611083,13.107.246.58,10.1.91.172,58417,0
1770702529.6912475,10.1.91.172,96.45.46.46,53,0
1770702529.6922567,10.1.91.172,13.107.246.58,443,0
1770702529.6934164,10.1.91.172,96.45.46.46,53,0
1770702529.6943743,204.79.197.219,10.1.91.172,49982,0
1770702529.6954725,10.1.91.172,96.45.46.46,53,0
1770702529.697199,10.1.91.172,204.79.197.219,443,0
1770702529.698606,10.1.91.172,104.18.39.21,443,0
1770702529.6999314,18.161.229.61,10.1.91.172,50135,0
1770702529.701048,10.1.91.172,23.46.216.207,443,1
1770702529.7025683,96.45.46.46,10.1.91.172,56181,0
1770702529.7039244,96.45.46.46,10.1.91.172,56181,0
1770702529.7055626,96.45.46.46,10.1.91.172,56181,0
1770702529.7066104,10.1.91.172,204.79.197.219,443,1
1770702529.7080648,10.1.91.172,74.162.106.40,443,0
1770702529.7092164,104.18.39.21,10.1.91.172,50817,0
1770702529.7104235,204.79.197.219,10.1.91.172,49982,0
1770702529.7125192,204.79.197.219,10.1.91.172,49982,0
1770702529.7142107,10.1.91.172,204.79.197.219,443,0
1770702529.716398,10.1.91.172,18.161.229.61,443,0
1770702529.7192514,204.79.197.219,10.1.91.172,49982,0
1770702529.7207823,204.79.197.219,10.1.91.172,49982,0
1770702529.7222004,10.1.91.172,204.79.197.219,443,0
1770702529.7236707,10.1.91.172,204.79.197.219,443,0
1770702529.7262986,204.79.197.219,10.1.91.172,51064,0
1770702529.727259,10.1.91.172,204.79.197.219,443,0
1770702529.7486053,96.45.46.46,10.1.91.172,56181,0
1770702529.7497215,18.161.229.61,10.1.91.172,50135,0
1770702529.7507257,204.79.197.219,10.1.91.172,49982,0
1770702529.7524273,204.79.197.219,10.1.91.172,49982,0
1770702529.778904,204.79.197.219,10.1.91.172,49982,0
1770702529.7798665,10.1.91.172,204.79.197.219,443,0
1770702529.7813444,10.1.91.172,204.79.197.219,443,0
1770702529.7831407,10.1.91.172,204.79.197.219,443,0
1770702529.7841787,10.1.91.172,96.45.46.46,53,0
1770702529.7857609,10.1.91.172,96.45.46.46,53,1
1770702529.7869325,10.1.91.172,23.46.216.207,443,1
1770702529.7886987,10.1.91.172,23.46.216.207,443,1
1770702529.7930155,10.1.91.172,104.208.16.88,443,1
1770702529.8143694,74.162.106.40,10.1.91.172,53478,0
1770702529.8508968,74.162.106.40,10.1.91.172,53478,0
1770702529.8531537,10.1.91.172,74.162.106.40,443,0
1770702529.8549285,74.162.106.40,10.1.91.172,53478,0
1770702529.857118,74.162.106.40,10.1.91.172,53478,0
1770702529.8582175,96.45.46.46,10.1.91.172,56181,0
1770702529.8596473,96.45.46.46,10.1.91.172,60487,0
1770702529.8610628,204.79.197.219,10.1.91.172,51064,0
1770702529.8627663,204.79.197.219,10.1.91.172,51064,0
1770702529.8641803,10.1.91.172,96.45.46.46,53,0
1770702529.8651445,10.1.91.172,74.162.106.40,443,0
1770702529.8667042,10.1.91.172,96.45.46.46,53,0
1770702529.8687286,104.208.16.88,10.1.91.172,62749,0
1770702529.8706036,104.208.16.88,10.1.91.172,60106,0
1770702529.8723457,104.208.16.88,10.1.91.172,56067,0
1770702529.8758469,104.208.16.88,10.1.91.172,56067,0
1770702529.8789308,10.1.91.172,104.208.16.88,443,0
1770702529.8820596,10.1.91.172,104.208.16.88,443,0
1770702529.887057,10.1.91.172,74.162.106.40,443,0
1770702529.8925354,10.1.91.172,96.45.46.46,53,0
1770702529.89494,10.1.91.172,96.45.46.46,53,0
1770702529.8978217,10.1.91.172,204.79.197.219,443,0
1770702529.8994343,10.1.91.172,104.208.16.88,443,0
1770702529.9009862,10.1.91.172,104.208.16.88,443,0
1770702529.9051087,10.1.91.172,104.208.16.88,443,0
1770702529.9071765,10.1.91.172,104.208.16.88,443,0
1770702529.9093952,10.1.91.172,104.208.16.88,443,0
1770702529.9111412,10.1.91.172,4.213.25.241,443,0
1770702529.9134114,10.1.91.172,74.162.106.40,443,0
1770702529.9635541,18.161.229.61,10.1.91.172,50135,0
1770702529.965226,96.45.46.46,10.1.91.172,60487,0
1770702529.9674513,96.45.46.46,10.1.91.172,60487,0
1770702530.0110538,96.45.46.46,10.1.91.172,60487,0
1770702530.0133896,204.79.197.219,10.1.91.172,51064,0
1770702530.0162315,74.162.106.40,10.1.91.172,53478,0
1770702530.0189812,204.79.197.219,10.1.91.172,51064,0
1770702530.0219152,74.162.106.40,10.1.91.172,53478,0
1770702530.024451,4.213.25.241,10.1.91.172,50818,0
1770702530.0276608,23.46.216.207,10.1.91.172,50891,0
1770702530.0289032,10.1.91.172,74.162.106.40,443,0
1770702530.0298347,10.1.91.172,23.46.216.207,443,0
1770702530.032031,204.79.197.203,10.1.91.172,51752,0
1770702530.0333467,204.79.197.203,10.1.91.172,51752,0
1770702530.0354693,204.79.197.203,10.1.91.172,51752,0
1770702530.0378625,204.79.197.203,10.1.91.172,51752,0
1770702530.040786,204.79.197.203,10.1.91.172,51752,0
1770702530.0433695,204.79.197.203,10.1.91.172,51752,0
1770702530.0452223,10.1.91.172,204.79.197.203,443,0
1770702530.0472982,204.79.197.203,10.1.91.172,51752,0
1770702530.0496435,204.79.197.203,10.1.91.172,51752,0
1770702530.0514042,204.79.197.203,10.1.91.172,51752,0
1770702530.053424,204.79.197.203,10.1.91.172,51752,0
1770702530.0549896,204.79.197.203,10.1.91.172,51752,0
1770702530.0571356,74.162.106.40,10.1.91.172,53478,0
1770702530.058478,10.1.91.172,96.45.46.46,53,0
1770702530.0599353,10.1.91.172,204.79.197.203,443,0
1770702530.0615427,10.1.91.172,74.162.106.40,443,0
1770702530.0630426,23.46.216.207,10.1.91.172,63146,0
1770702530.0640273,23.46.216.207,10.1.91.172,57437,0
1770702530.0664444,10.1.91.172,23.46.216.207,443,0
1770702530.0687163,10.1.91.172,23.46.216.207,443,0
1770702530.0706475,10.1.91.172,204.79.197.219,443,0
1770702530.0729866,10.1.91.172,23.46.216.207,443,0
1770702530.0748823,10.1.91.172,23.46.216.207,443,0
1770702530.0767817,10.1.91.172,23.46.216.207,443,0
1770702530.0789363,10.1.91.172,23.46.216.207,443,0
1770702530.0816188,10.1.91.172,23.46.216.207,443,0
1770702530.0844362,10.1.91.172,23.46.216.207,443,0
1770702530.088503,10.1.91.172,23.44.229.231,443,1
1770702530.0933893,10.1.91.172,4.213.25.241,443,0
1770702530.0946524,10.1.91.172,18.161.229.61,443,0
1770702530.0979116,10.1.91.172,204.79.197.203,443,0
1770702530.0993662,10.1.91.172,204.79.197.203,443,0
1770702530.1005185,10.1.91.172,23.46.216.207,443,1
1770702530.1019104,10.1.91.172,204.79.197.203,443,0
1770702530.2409286,10.1.91.172,23.44.229.231,443,1
1770702530.2564125,96.45.46.46,10.1.91.172,60487,0
1770702530.2779818,204.79.197.203,10.1.91.172,51752,0
1770702530.2792087,204.79.197.219,10.1.91.172,51064,0
1770702530.2801497,204.79.197.219,10.1.91.172,51064,0
1770702530.2811584,104.208.16.88,10.1.91.172,57771,0
1770702530.2818396,104.208.16.88,10.1.91.172,60106,0
1770702530.2825413,104.208.16.88,10.1.91.172,60106,0
1770702530.2830791,10.1.91.172,96.45.46.46,53,0
1770702530.2836387,10.1.91.172,204.79.197.203,443,0
1770702530.2847247,10.1.91.172,104.208.16.88,443,0
1770702530.2868676,104.208.16.88,10.1.91.172,56067,0
1770702530.2887113,104.208.16.88,10.1.91.172,56067,0
1770702530.2899811,104.208.16.88,10.1.91.172,62749,0
1770702530.2921476,104.208.16.88,10.1.91.172,62749,0
1770702530.2928388,10.1.91.172,104.208.16.88,443,0
1770702530.2934687,23.44.229.231,10.1.91.172,58483,0
1770702530.2942345,23.46.216.207,10.1.91.172,50891,0
1770702530.29481,204.79.197.203,10.1.91.172,51752,0
1770702530.2954295,204.79.197.203,10.1.91.172,51752,0
1770702530.300379,10.1.91.172,23.44.229.231,443,0
1770702530.3030806,10.1.91.172,104.208.16.88,443,0
1770702530.3045514,10.1.91.172,104.208.16.88,443,0
1770702530.3057258,10.1.91.172,104.208.16.88,443,0
1770702530.3065631,10.1.91.172,104.208.16.88,443,0
1770702530.3074687,10.1.91.172,104.208.16.88,443,0
1770702530.3082683,10.1.91.172,23.44.229.231,443,0
1770702530.3089879,10.1.91.172,23.44.229.231,443,0
1770702530.3096175,10.1.91.172,23.46.216.207,443,0
1770702530.3101668,10.1.91.172,13.107.246.48,443,1
1770702530.3106804,10.1.91.172,104.208.16.88,443,0
1770702530.3111892,10.1.91.172,104.208.16.88,443,0
1770702530.3119836,10.1.91.172,104.208.16.88,443,0
1770702530.3125696,10.1.91.172,52.184.215.111,443,1
1770702530.3133733,10.1.91.172,104.208.16.88,443,0
1770702530.3141236,10.1.91.172,104.208.16.88,443,0
1770702530.314778,10.1.91.172,104.208.16.88,443,0
1770702530.3155444,10.1.91.172,204.79.197.203,443,0
1770702530.3163013,10.1.91.172,104.208.16.88,443,0
1770702530.3169742,10.1.91.172,104.208.16.88,443,0
1770702530.3177462,10.1.91.172,104.208.16.88,443,0
1770702530.3186872,10.1.91.172,104.208.16.88,443,0
1770702530.3195045,10.1.91.172,104.208.16.88,443,0
1770702530.320984,10.1.91.172,104.208.16.88,443,0
1770702530.3220904,10.1.91.172,104.208.16.88,443,0
1770702530.32298,10.1.91.172,104.208.16.88,443,0
1770702530.323791,10.1.91.172,104.208.16.88,443,0
1770702530.3245182,10.1.91.172,104.208.16.88,443,0
1770702530.3253002,10.1.91.172,104.208.16.88,443,0
1770702530.3258455,13.107.246.48,10.1.91.172,62526,0
1770702530.3263583,10.1.91.172,13.107.246.48,443,0
1770702530.3271165,10.1.91.172,13.107.246.48,443,0
1770702530.3278234,10.1.91.172,13.107.246.48,443,0
1770702530.3285174,10.1.91.172,23.44.229.231,443,1
1770702530.3290455,10.1.91.172,204.79.197.219,443,0
1770702530.3296819,204.79.197.219,10.1.91.172,51064,0
1770702530.3302026,10.1.91.172,204.79.197.219,443,0
1770702530.3310354,10.1.91.172,13.107.246.48,443,0
1770702530.3478813,204.79.197.203,10.1.91.172,51752,0
1770702530.3486762,13.107.246.48,10.1.91.172,62526,0
1770702530.3495421,13.107.246.48,10.1.91.172,62526,0
1770702530.350515,10.1.91.172,13.107.246.48,443,0
1770702530.3572328,10.1.91.172,23.46.216.207,443,1
1770702530.3645296,13.107.246.48,10.1.91.172,62526,0
1770702530.3659153,10.1.91.172,13.107.246.48,443,0
1770702530.3681123,13.107.246.48,10.1.91.172,62526,0
1770702530.370745,13.107.246.48,10.1.91.172,62526,0
1770702530.3723648,10.1.91.172,13.107.246.48,443,0
1770702530.3741388,13.107.246.48,10.1.91.172,62526,0
1770702530.3755074,13.107.246.48,10.1.91.172,62526,0
1770702530.376719,10.1.91.172,13.107.246.48,443,0
1770702530.3809738,10.1.91.172,13.107.246.48,443,0
1770702530.3835547,10.1.91.172,13.107.246.48,443,0
1770702530.3875341,10.1.91.172,13.107.246.48,443,0
1770702530.3991323,13.107.246.48,10.1.91.172,62526,0
1770702530.4006014,13.107.246.48,10.1.91.172,62526,0
1770702530.4035497,13.107.246.48,10.1.91.172,62526,0
1770702530.4055138,10.1.91.172,13.107.246.48,443,0
1770702530.4085703,10.1.91.172,13.107.246.48,443,0
1770702530.4109395,10.1.91.172,23.46.216.207,443,1
1770702530.4130294,10.1.91.172,23.46.216.207,443,1
1770702530.415289,204.79.197.203,10.1.91.172,51752,0
1770702530.417127,13.107.246.48,10.1.91.172,62526,0
1770702530.4384882,10.1.91.172,23.46.216.207,443,1
1770702530.4843807,10.1.91.172,204.79.197.203,443,0
1770702530.4878407,23.46.216.207,10.1.91.172,65315,0
1770702530.4904633,10.1.91.172,23.46.216.207,443,0
1770702530.494608,10.1.91.172,23.46.216.207,443,0
1770702530.4982102,10.1.91.172,23.46.216.207,443,0
1770702530.5043113,10.1.91.172,23.46.216.207,443,0
1770702530.5103488,10.1.91.172,23.46.216.207,443,0
1770702530.5134773,204.79.197.203,10.1.91.172,51752,0
1770702530.5392737,23.44.229.231,10.1.91.172,50558,0
1770702530.5423663,23.44.229.231,10.1.91.172,58483,0
1770702530.548543,13.107.246.48,10.1.91.172,62526,0
1770702530.560997,23.46.216.207,10.1.91.172,50891,0
1770702530.5624971,23.46.216.207,10.1.91.172,50891,0
1770702530.563496,10.1.91.172,23.44.229.231,443,0
1770702530.5862298,10.1.91.172,23.44.229.231,443,0
1770702530.5868995,10.1.91.172,23.44.229.231,443,0
1770702530.5874245,10.1.91.172,23.44.229.231,443,0
1770702530.5879507,104.208.16.88,10.1.91.172,56067,0
1770702530.5884502,104.208.16.88,10.1.91.172,56067,0
1770702530.5888615,10.1.91.172,104.208.16.88,443,0
1770702530.5894818,10.1.91.172,23.44.229.231,443,0
1770702530.5900493,10.1.91.172,23.44.229.231,443,0
1770702530.5904908,10.1.91.172,52.184.215.111,443,1
1770702530.591296,10.1.91.172,23.44.229.231,443,0
1770702530.591945,10.1.91.172,23.44.229.231,443,0
1770702530.5925481,10.1.91.172,23.44.229.231,443,0
1770702530.5937753,10.1.91.172,23.44.229.231,443,0
1770702530.5947084,10.1.91.172,23.44.229.231,443,0
1770702530.5954149,10.1.91.172,204.79.197.203,443,0
1770702530.5979517,10.1.91.172,13.107.246.48,443,0
1770702530.6014106,10.1.91.172,23.46.216.207,443,0
1770702530.6028168,104.208.16.88,10.1.91.172,60106,0
1770702530.6033764,10.1.91.172,104.208.16.88,443,0
1770702530.6051085,104.208.16.88,10.1.91.172,60106,0
1770702530.6061707,104.208.16.88,10.1.91.172,60106,0
1770702530.6066887,52.184.215.111,10.1.91.172,63344,0
1770702530.6073802,23.44.229.231,10.1.91.172,50455,0
1770702530.6078494,104.208.16.88,10.1.91.172,57771,0
1770702530.608374,104.208.16.88,10.1.91.172,56067,0
1770702530.6090052,104.208.16.88,10.1.91.172,57771,0
1770702530.6096704,104.208.16.88,10.1.91.172,56067,0
1770702530.6103365,104.208.16.88,10.1.91.172,56067,0
1770702530.6110651,104.208.16.88,10.1.91.172,56067,0
1770702530.6121788,104.208.16.88,10.1.91.172,56067,0
1770702530.612892,104.208.16.88,10.1.91.172,56067,0
1770702530.6135511,104.208.16.88,10.1.91.172,56067,0
1770702530.6140945,104.208.16.88,10.1.91.172,56067,0
1770702530.614551,104.208.16.88,10.1.91.172,56067,0
1770702530.615121,104.208.16.88,10.1.91.172,56067,0
1770702530.6161523,10.1.91.172,52.184.215.111,443,0
1770702530.6170135,10.1.91.172,23.44.229.231,443,0
1770702530.6204278,10.1.91.172,104.208.16.88,443,0
1770702530.6227775,10.1.91.172,104.208.16.88,443,0
1770702530.6245282,10.1.91.172,104.208.16.88,443,0
1770702530.6253996,10.1.91.172,104.208.16.88,443,0
1770702530.6261244,10.1.91.172,104.208.16.88,443,0
1770702530.6267705,10.1.91.172,104.208.16.88,443,0
1770702530.6273897,10.1.91.172,104.208.16.88,443,0
1770702530.6280165,10.1.91.172,104.208.16.88,443,0
1770702530.6286404,10.1.91.172,104.208.16.88,443,0
1770702530.6292748,10.1.91.172,104.208.16.88,443,0
1770702530.630953,10.1.91.172,104.208.16.88,443,0
1770702530.6319742,10.1.91.172,104.208.16.88,443,0
1770702530.6331775,10.1.91.172,104.208.16.88,443,0
1770702530.634208,10.1.91.172,104.208.16.88,443,0
1770702530.635438,10.1.91.172,104.208.16.88,443,0
1770702530.6363125,10.1.91.172,104.208.16.88,443,0
1770702530.6369162,104.208.16.88,10.1.91.172,56067,0
1770702530.6375854,104.208.16.88,10.1.91.172,56067,0
1770702530.638085,104.208.16.88,10.1.91.172,56067,0
1770702530.6393366,104.208.16.88,10.1.91.172,62749,0
1770702530.6401536,10.1.91.172,104.208.16.88,443,0
1770702530.641646,10.1.91.172,104.208.16.88,443,0
1770702530.6425753,10.1.91.172,104.208.16.88,443,0
1770702530.6437082,10.1.91.172,104.208.16.88,443,0
1770702530.6448097,10.1.91.172,52.184.215.111,443,0
1770702530.6460536,10.1.91.172,52.184.215.111,443,0
1770702530.6475422,104.208.16.88,10.1.91.172,62749,0
